#eco	count_ref_matches	count_ref_mismatches	count_snp_matches	count_snp_mismatches
Agu_1_call	3107	1	0	116
Bak_2_call	2971	137	112	4
Bak_7_call	3104	4	1	115
Cdm_0_call	3098	10	2	114
Del_10_call	2872	236	81	35
Dog_4_call	3054	54	3	113
Don_0_call	3040	68	4	112
Ey15_2_call	2900	208	80	36
Fei_0_call	3095	13	2	114
HKT2_4_call	2923	185	80	36
ICE102_call	3106	2	1	115
ICE104_call	3087	21	2	114
ICE106_call	3106	2	1	115
ICE107_call	2907	201	81	35
ICE111_call	3096	12	2	114
ICE112_call	3104	4	2	114
ICE119_call	2909	199	81	35
ICE120_call	3077	31	3	113
ICE127_call	3054	54	3	113
ICE130_call	3106	2	1	115
ICE134_call	3106	2	1	115
ICE138_call	3077	31	1	115
ICE150_call	3106	2	1	115
ICE152_call	3086	22	2	114
ICE153_call	3106	2	1	115
ICE163_call	2623	485	84	32
ICE169_call	2933	175	85	31
ICE173_call	2947	161	83	33
ICE181_call	2924	184	85	31
ICE1_call	2962	146	113	3
ICE212_call	2915	193	84	32
ICE213_call	2925	183	85	31
ICE216_call	2878	230	81	35
ICE21_call	3108	0	2	114
ICE226_call	3100	8	1	115
ICE228_call	3049	59	2	114
ICE29_call	3105	3	1	115
ICE33_call	3105	3	1	115
ICE36_call	2933	175	85	31
ICE49_call	3090	18	22	94
ICE50_call	3078	30	24	92
ICE60_call	3076	32	1	115
ICE61_call	2916	192	85	31
ICE63_call	2935	173	85	31
ICE70_call	3026	82	113	3
ICE71_call	2990	118	113	3
ICE72_call	3108	0	1	115
ICE73_call	3074	34	1	115
ICE75_call	3102	6	2	114
ICE79_call	2916	192	83	33
ICE7_call	3103	5	7	109
ICE91_call	3105	3	1	115
ICE92_call	2821	287	82	34
ICE93_call	2894	214	81	35
ICE97_call	3107	1	1	115
ICE98_call	2863	245	81	35
Istisu_1_call	2927	181	84	32
Kastel_1_call	2935	173	113	3
Koch_1_call	2934	174	116	0
Lag2_2_call	2938	170	112	4
Leo_1_call	2991	117	85	31
Lerik1_3_call	2964	144	85	31
Memrut_1_call	3106	2	3	113
Mer_6_call	3106	2	1	115
Nie1_2_call	2972	136	84	32
Ped_0_call	3102	6	2	114
Pra_6_call	2921	187	85	31
Qui_0_call	2822	286	84	32
Rue3_1_call	3106	2	1	115
Sha_call	3037	71	1	115
Star_8_call	2915	193	113	3
TueSB30_call	2914	194	81	35
Tuescha9_call	3077	31	2	114
TueV12_call	2780	328	85	31
TueWa1_2_call	2934	174	81	35
Vash_1_call	2914	194	82	34
Vie_0_call	3108	0	0	116
WalhaesB4_call	2984	124	6	110
Xan_1_call	3105	3	1	115
Yeg_1_call	3106	2	1	115
